ibge_municipio,ubs_in_operational_source,active_ubs_cnes_st,ubs_with_recent_sia_production,active_ubs_with_recent_sia_production,sia_record_rows,sia_quantity_all_procedures,sia_approved_value,sia_competence_observations,populacao_residente,sia_reporting_coverage_pct,sia_quantity_all_procedures_per_1000,sia_quantity_per_reporting_ubs,production_interpretation,consultation_specific_status
312160,18,18,0,0,0,0.0,0.0,0,47702.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312170,4,4,0,0,0,0.0,0.0,0,3549.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312180,2,2,0,0,0,0.0,0.0,0,6847.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312190,3,3,2,2,576,3643.0,21786.459999999908,2,4226.0,66.66666666666666,862.0444865120681,1821.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312200,8,8,8,8,2088,32656.0,26771.530000000115,8,20706.0,100.0,1577.127402685212,4082.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312210,3,2,0,0,0,0.0,0.0,0,4178.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312220,4,4,4,4,688,2381.0,13647.620000000023,4,6516.0,100.0,365.40822590546344,595.25,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312230,60,51,0,0,0,0.0,0.0,0,231091.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312235,3,3,2,2,530,5964.0,31297.680000000124,2,6321.0,66.66666666666666,943.5215946843854,2982.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312240,3,2,0,0,0,0.0,0.0,0,5851.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312245,4,3,2,2,244,6781.0,27610.40000000009,2,10213.0,66.66666666666666,663.9577009693528,3390.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312247,2,2,2,2,3916,11317.0,54175.74000000071,2,3697.0,100.0,3061.1306464701106,5658.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312250,2,2,0,0,0,0.0,0.0,0,4904.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312260,2,2,0,0,0,0.0,0.0,0,4899.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312270,3,3,1,1,485,1448.0,9990.249999999918,1,5228.0,33.33333333333333,276.9701606732976,1448.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312280,2,2,1,1,85,2616.0,3000.0,1,3095.0,50.0,845.2342487883683,2616.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312290,4,4,2,2,570,2539.0,13906.469999999998,2,6093.0,50.0,416.70769735762354,1269.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312300,4,3,0,0,0,0.0,0.0,0,10007.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312310,2,2,1,1,1210,5909.0,16618.950000000368,1,5029.0,50.0,1174.9850864983098,5909.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312320,5,5,4,4,834,36008.0,37196.38999999986,4,12630.0,80.0,2850.989707046714,9002.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312330,2,2,1,1,181,2409.0,11302.02999999998,1,4987.0,50.0,483.05594545819133,2409.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312340,2,2,2,2,328,1993.0,7265.210000000008,2,1461.0,100.0,1364.1341546885694,996.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312350,1,1,0,0,0,0.0,0.0,0,1829.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312352,4,4,0,0,0,0.0,0.0,0,7817.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312360,12,10,0,0,0,0.0,0.0,0,26336.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312370,3,3,1,1,848,851.0,4202.549999999935,1,13622.0,33.33333333333333,62.472471002789604,851.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312380,3,3,1,1,40,40.0,9000.0,1,6354.0,33.33333333333333,6.295247088448221,40.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312385,3,3,2,2,444,2449.0,16979.91,2,5179.0,66.66666666666666,472.87121065842825,1224.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312390,4,4,4,4,2773,25108.0,1986.65,4,14746.0,100.0,1702.6990370269903,6277.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312400,10,9,2,2,2897,12890.0,85620.70999999958,2,20255.0,22.22222222222222,636.3860775117255,6445.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312410,17,17,0,0,0,0.0,0.0,0,85598.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312420,2,2,0,0,0,0.0,0.0,0,24102.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312430,9,6,2,2,1036,19992.0,106192.35000000082,2,30443.0,33.33333333333333,656.7026902736261,9996.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312440,2,2,0,0,0,0.0,0.0,0,6611.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312450,6,6,0,0,0,0.0,0.0,0,11502.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312460,1,1,1,1,121,332.0,1346.3999999999992,1,2186.0,100.0,151.87557182067704,332.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312470,3,1,1,1,93,7578.0,2228.2,1,2772.0,100.0,2733.7662337662337,7578.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312480,3,3,0,0,0,0.0,0.0,0,6840.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312490,8,7,1,1,165,929.0,45969.81000000005,1,10801.0,14.285714285714285,86.0105545782798,929.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312500,2,2,1,1,954,1363.0,7911.599999999903,1,3875.0,50.0,351.741935483871,1363.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312510,26,26,0,0,0,0.0,0.0,0,53482.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312520,2,2,2,2,494,4882.0,440.1500000000005,2,2578.0,100.0,1893.7160589604346,2441.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312530,2,2,1,1,1472,2186.0,43176.87000000024,1,3188.0,50.0,685.6963613550816,2186.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312540,3,3,1,1,1000,6525.0,27450.91999999948,1,5133.0,33.33333333333333,1271.186440677966,6525.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312550,2,2,0,0,0,0.0,0.0,0,3032.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312560,3,3,1,1,111,605.0,7618.050000000001,1,6489.0,33.33333333333333,93.23470488519033,605.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312570,8,8,1,1,854,5444.0,18620.709999999886,1,13978.0,12.5,389.46916583202176,5444.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312580,2,1,1,1,314,608.0,7410.599999999922,1,2789.0,100.0,217.99928289709572,608.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312590,1,1,0,0,0,0.0,0.0,0,9590.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312595,5,5,2,2,379,2322.0,16223.920000000013,2,10445.0,40.0,222.30732407850644,1161.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312600,2,2,0,0,0,0.0,0.0,0,8045.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312610,18,18,16,16,232,12370.0,0.0,16,68248.0,88.88888888888889,181.25073262220138,773.125,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312620,2,2,0,0,0,0.0,0.0,0,7949.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312630,1,1,0,0,0,0.0,0.0,0,3477.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312640,3,2,0,0,0,0.0,0.0,0,3093.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312650,6,6,0,0,0,0.0,0.0,0,7366.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312660,4,4,0,0,0,0.0,0.0,0,4503.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312670,12,9,1,1,34,34.0,7650.0,1,23476.0,11.11111111111111,1.4482876128812405,34.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312675,3,3,2,2,140,2621.0,12729.679999999997,2,5034.0,66.66666666666666,520.6595152959873,1310.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312680,3,2,1,1,223,514.0,4945.469999999988,1,5640.0,50.0,91.13475177304966,514.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312690,6,6,3,3,762,1153.0,5679.119999999963,3,8226.0,50.0,140.16532944322879,384.3333333333333,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312695,1,1,1,1,377,5769.0,11558.249999999996,1,3391.0,100.0,1701.2680625184312,5769.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312700,7,5,0,0,0,0.0,0.0,0,14540.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312705,2,2,2,2,446,34844.0,18905.350000000017,2,4345.0,100.0,8019.332566168009,17422.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312707,4,4,0,0,0,0.0,0.0,0,4647.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312710,13,11,2,2,192,394.0,3940.0,2,58588.0,18.181818181818183,6.724926606130948,197.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312720,3,3,3,3,409,1381.0,10032.250000000011,3,4686.0,100.0,294.7076397780623,460.3333333333333,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312730,5,5,5,5,8352,11513.0,39338.49000000019,5,6222.0,100.0,1850.369656059145,2302.6,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
