competencia_cnes,regiao_aps,uf_sigla,estado_nome,municipio_nome_aps,ibge_municipio,aps_populacao,qt_esf,qt_eap_20hs,qt_eap_30hs,qt_ecr,qt_cadastro_ecr,qt_eapp_20hs,qt_cadastro_eapp_20hs,qt_eapp_30hs,qt_cadastro_eapp_30hs,qt_esfr,qt_cadastro_esfr,qt_cadastros_ecr_eapp,aps_capacidade_equipe,cobertura_aps_pct,municipio_key
01/2021,SUDESTE,MG,MINAS GERAIS,PEQUI,314960,4432.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,157.94,pequi
01/2021,SUDESTE,MG,MINAS GERAIS,PERDIGÃO,314970,11755.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,119.09,perdigao
01/2021,SUDESTE,MG,MINAS GERAIS,PERDIZES,314980,16321.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,128.66,perdizes
01/2021,SUDESTE,MG,MINAS GERAIS,PERDÕES,314990,21485.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,97.74,perdoes
01/2021,SUDESTE,MG,MINAS GERAIS,PERIQUITO,314995,6773.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,155.02,periquito
01/2021,SUDESTE,MG,MINAS GERAIS,PESCADOR,315000,4256.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,164.47,pescador
01/2021,SUDESTE,MG,MINAS GERAIS,PIAU,315010,2733.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,128.06,piau
01/2021,SUDESTE,MG,MINAS GERAIS,PIEDADE DE CARATINGA,315015,8702.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,160.88,piedade_de_caratinga
01/2021,SUDESTE,MG,MINAS GERAIS,PIEDADE DE PONTE NOVA,315020,4140.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,169.08,piedade_de_ponte_nova
01/2021,SUDESTE,MG,MINAS GERAIS,PIEDADE DO RIO GRANDE,315030,4466.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,156.73,piedade_do_rio_grande
01/2021,SUDESTE,MG,MINAS GERAIS,PIEDADE DOS GERAIS,315040,5009.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,139.74,piedade_dos_gerais
