uf_sigla,uf_nome,regiao_nome,ubs_records,population,area_km2,ubs_per_10k_population,ubs_per_1000_km2,cobertura_aps_ponderada_capped_pct,active_with_recent_sia_production_pct,spatial_issue_pct,population_density,ubs_population_gap,aps_coverage_gap,operational_gap,spatial_quality_gap,territorial_vulnerability_proxy,robust_priority_balanced,robust_priority_coverage_led,robust_priority_operations_led,robust_priority_data_quality_led,robust_priority_vulnerability_led,robust_priority_min,robust_priority_max,robust_priority_range,rank_min,rank_max,rank_range,priority_stability_flag
ES,Espírito Santo,Sudeste,942,3796285.0,44753.714,2.48137323725695,21.048532419007728,88.44767038636688,55.838641188959656,10.40339702760085,84.82614426145727,0.5925925925925926,0.1155232961363312,0.4416135881104034,0.1040339702760085,0.5555555555555556,36.42901186790462,31.151717408085943,38.325703831515526,30.903198523659903,41.9234863273872,30.903198523659903,41.9234863273872,11.0202878037273,14.0,23.0,9.0,sensitive
MT,Mato Grosso,Centro-Oeste,1060,3654114.0,902669.075,2.9008399847404878,1.1742952421406485,85.18348371068014,22.765757290686736,4.13922859830668,4.0481214004146535,0.37037037037037035,0.14816516289319864,0.7723424270931326,0.041392285983066796,0.4814814814814815,36.25334338542011,32.769922079645575,46.50182189204413,28.81738580967766,40.469976311750756,28.81738580967766,46.50182189204413,17.684436082366467,14.0,18.0,4.0,moderate
BA,Bahia,Nordeste,4449,14107185.0,562672.519,3.1537120977714546,7.906908281049355,89.16190573128877,10.0472016183412,7.147673634524613,25.07175048298387,0.2592592592592593,0.1083809426871123,0.8995279838165879,0.07147673634524612,0.5,35.75371577016974,32.0511289189927,49.456363823841166,29.212601180550536,40.642785241887665,29.212601180550536,49.456363823841166,20.24376264329063,13.0,17.0,4.0,moderate
MG,Minas Gerais,Sudeste,6137,20518856.0,585655.89,2.9909074852906032,10.478849619355833,91.67189865125692,19.618706208245072,8.61984683069904,35.0356862286487,0.33333333333333337,0.08328101348743075,0.8038129379175493,0.08619846830699039,0.48148148148148145,35.00681667569717,30.612032819474784,46.46373515693739,28.99160798658633,39.54438138896052,28.99160798658633,46.46373515693739,17.472127170351058,17.0,18.0,1.0,stable
PE,Pernambuco,Nordeste,3012,9024453.0,96446.097,3.337598411781855,31.229879629032578,89.05271774879796,10.624169986719789,8.300132802124834,93.56991398003385,0.18518518518518523,0.1094728225120204,0.8937583001328021,0.08300132802124834,0.48148148148148145,33.70885833762712,30.573689350237345,47.827969857894544,27.943729043374844,38.54997074324204,27.943729043374844,47.827969857894544,19.8842408145197,14.0,19.0,5.0,moderate
SC,Santa Catarina,Sul,2057,7610361.0,95730.685,2.70289412026578,21.487363221103035,94.29248387907262,49.343704423918325,8.215848322800195,79.49761353948318,0.4444444444444444,0.0570751612092738,0.5065629557608167,0.08215848322800196,0.5185185185185185,31.679404282757094,26.609263673023897,36.497995153157845,26.772558973176203,37.49754501901787,26.609263673023897,37.49754501901787,10.888281345993974,20.0,25.0,5.0,moderate
MA,Maranhão,Nordeste,2380,6721200.0,327106.638,3.541034339106112,7.275914712559273,91.45401307021297,11.428571428571429,9.033613445378151,20.547427716829155,0.07407407407407407,0.08545986929787035,0.8857142857142857,0.09033613445378151,0.4814814814814815,30.279898537613274,27.556396639328444,45.16199380048958,25.655597908799578,35.83211518237567,25.655597908799578,45.16199380048958,19.506395891690005,20.0,21.0,1.0,stable
RN,Rio Grande do Norte,Nordeste,1135,3300288.0,52514.616,3.439093800298641,21.613030551342124,92.34961440779948,18.06167400881057,9.60352422907489,62.845132486544315,0.11111111111111116,0.07650385592200522,0.8193832599118943,0.0960352422907489,0.46296296296296297,29.463012452871475,26.51703137833885,42.86037826611641,25.154112969983277,34.69286317393171,25.154112969983277,42.86037826611641,17.706265296133136,21.0,23.0,2.0,stable
AL,Alagoas,Nordeste,1001,3127683.0,27830.657,3.200452219742218,35.96753033893523,88.52724499883261,41.05894105894106,10.88911088911089,112.38265054252942,0.2222222222222222,0.11472755001167385,0.5894105894105894,0.10889110889110891,0.48148148148148145,29.06754494964805,26.282963694328647,36.72599056110479,25.350255185369413,34.47028330539754,25.350255185369413,36.72599056110479,11.375735375735374,22.0,24.0,2.0,stable
PI,Piauí,Nordeste,1276,3260944.0,247269.245,3.912977346437106,5.16036678965069,99.51125323786208,3.918495297805643,6.583072100313479,13.187826896951945,0.03703703703703709,0.004887467621379216,0.9608150470219435,0.06583072100313479,0.48148148148148145,28.474096594168525,24.724582647732213,45.75498939454462,23.732349199490642,34.672730019181806,23.732349199490642,45.75498939454462,22.02264019505398,19.0,24.0,5.0,moderate
AC,Acre,Norte,284,830018.0,164173.431,3.4216125433424334,1.729877960581819,94.35124585581632,26.76056338028169,5.633802816901409,5.055738891148592,0.14814814814814814,0.05648754144183684,0.7323943661971831,0.05633802816901409,0.42592592592592593,26.997738875117385,23.896434365028718,38.766384509646336,22.297683414184675,31.901230623365684,22.297683414184675,38.766384509646336,16.46870109546166,22.0,26.0,4.0,moderate
TO,Tocantins,Norte,458,1499906.0,273597.827,3.053524687547086,1.6739899034358925,98.26683106523416,49.34497816593886,5.458515283842795,5.482156113761825,0.2962962962962963,0.017331689347658427,0.5065502183406114,0.05458515283842795,0.48148148148148145,26.01270352270974,21.57730444920959,32.34011208705456,21.869709369926944,32.246953426210304,21.57730444920959,32.34011208705456,10.762807637844968,25.0,27.0,2.0,stable
PB,Paraíba,Nordeste,1788,3951469.0,55734.466,4.524899474094318,32.08068773817623,96.59340638110224,31.43176733780761,8.333333333333332,70.89812253695945,0.0,0.03406593618897759,0.6856823266219239,0.08333333333333331,0.40740740740740744,21.92640604827403,19.593808215642625,33.92936880516744,19.24051720188631,27.362378996566893,19.24051720188631,33.92936880516744,14.688851603281133,26.0,27.0,1.0,stable
