ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,populacao_residente,telemedicine_precision_index,phase5_precision_rank,phase2_rank_balanced,phase2_need_pillar,phase2_feasibility_pillar,phase5_spatial_precision_mismatch_score,phase5_weighted_p90_ubs_km,phase5_population_share_pharmacy_le_2km,phase5_population_share_hard_ubs_easy_pharmacy,phase5_precision_status,phase5_evidence_grade
350330,3503307,Araras,SP,130866.0,77.69292261419693,30.0,28.0,87.68851949141076,85.14091006218743,63.10800971407971,0.3985720243953426,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
352530,3525300,Jaú,SP,133497.0,77.64469232545702,31.0,33.0,90.45019845893854,70.8592530465365,67.23047970780478,0.5056396414586567,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
355670,3556701,Vinhedo,SP,76540.0,77.46885904927235,32.0,27.0,89.88473642253643,73.92017362532357,65.72940138318808,0.4612512215676232,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
352050,3520509,Indaiatuba,SP,255748.0,77.14749532516736,33.0,45.0,90.86918018617038,55.83307841251583,75.19000588646003,1.5647893228131518,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
355700,3557006,Votorantim,SP,127923.0,77.02661559462636,34.0,29.0,89.67676830288437,74.88164122635706,64.37869882612732,0.4296992947433445,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
320520,3205200,Vila Velha,ES,467722.0,76.91975903685501,35.0,19.0,80.73192184582751,79.32285345415768,71.02216543516299,0.6776711175960818,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
353870,3538709,Piracicaba,SP,423323.0,76.5827939220089,36.0,47.0,89.57111866960093,65.46463468658352,68.48312862634837,0.5500887013369092,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
431690,4316907,Santa Maria,RS,271735.0,76.24154909400349,37.0,32.0,91.92992330852184,72.05102936833198,61.906655566652326,0.3766506284955533,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
312710,3127107,Frutal,MG,58588.0,76.00508561008643,38.0,38.0,76.63386445312437,79.60401537400107,73.24212643072826,0.8770539515853494,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
351880,3518800,Guarulhos,SP,1291771.0,75.93988168801188,39.0,41.0,97.2805222101596,47.37836152630626,72.3208614492059,0.7747576720673637,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
