ibge_municipio_7,phase5_population_origins,phase5_origin_granularity,phase5_origin_population,phase5_population_covered_by_distances,phase5_population_origin_coverage_ratio,phase5_distance_coverage_ratio,phase5_weighted_mean_ubs_km,phase5_weighted_p50_ubs_km,phase5_weighted_p90_ubs_km,phase5_weighted_mean_pharmacy_km,phase5_weighted_p50_pharmacy_km,phase5_weighted_p90_pharmacy_km,phase5_population_share_ubs_gt_5km,phase5_population_share_pharmacy_le_2km,phase5_population_share_hard_ubs_easy_pharmacy,phase5_population_per_active_ubs,phase5_population_per_physician_fte,phase5_population_per_pfpb_pharmacy,phase5_precision_status,phase5_access_evidence_grade
2503704,1,municipality_single_origin,63239.0,63239.0,1.0,1.0,0.04666659687967978,0.04666659687967978,0.04666659687967978,0.24955160917448896,0.24955160917448896,0.24955160917448896,0.0,1.0,0.0,1664.1842105263158,1672.9894179894181,4864.538461538462,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503753,1,municipality_single_origin,2740.0,2740.0,1.0,1.0,1.1253896486993225,1.1253896486993225,1.1253896486993225,17.299063155251865,17.299063155251865,17.299063155251865,0.0,0.0,0.0,1370.0,1165.9574468085107,,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503803,1,municipality_single_origin,5753.0,5753.0,1.0,1.0,3.8305249490030957,3.8305249490030957,3.8305249490030957,15.303438604250536,15.303438604250536,15.303438604250536,0.0,0.0,0.0,1917.6666666666667,1917.6666666666667,5753.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503902,1,municipality_single_origin,6085.0,6085.0,1.0,1.0,0.7561819896136064,0.7561819896136064,0.7561819896136064,25.00273183369275,25.00273183369275,25.00273183369275,0.0,0.0,0.0,3042.5,2734.8314606741574,6085.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504009,1,municipality_single_origin,419379.0,419379.0,1.0,1.0,0.6579239818100648,0.6579239818100648,0.6579239818100648,0.5102310506099973,0.5102310506099973,0.5102310506099973,0.0,1.0,0.0,4152.267326732674,1827.9568486433475,11649.416666666666,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504033,1,municipality_single_origin,6970.0,6970.0,1.0,1.0,0.6339398562342832,0.6339398562342833,0.6339398562342833,20.466468605624463,20.466468605624463,20.466468605624463,0.0,0.0,0.0,2323.3333333333335,1991.4285714285713,3485.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504074,1,municipality_single_origin,3944.0,3944.0,1.0,1.0,0.19369022088162763,0.19369022088162763,0.19369022088162763,40.373227901514824,40.373227901514824,40.373227901514824,0.0,0.0,0.0,1314.6666666666667,1792.7272727272725,1972.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504108,1,municipality_single_origin,2312.0,2312.0,1.0,1.0,0.0782119408369658,0.0782119408369658,0.0782119408369658,13.827588363982931,13.827588363982931,13.827588363982931,0.0,0.0,0.0,2312.0,2312.0,,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504157,1,municipality_single_origin,6889.0,6889.0,1.0,1.0,0.16474261911532967,0.16474261911532967,0.16474261911532967,15.516743171959375,15.516743171959375,15.516743171959375,0.0,0.0,0.0,2296.3333333333335,2296.3333333333335,6889.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504207,1,municipality_single_origin,4491.0,4491.0,1.0,1.0,0.13304257382595713,0.13304257382595713,0.13304257382595713,18.535954428759794,18.535954428759794,18.535954428759794,0.0,0.0,0.0,2245.5,2245.5,4491.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504306,1,municipality_single_origin,30661.0,30661.0,1.0,1.0,0.23993130342074673,0.23993130342074673,0.23993130342074673,0.12942787617318083,0.12942787617318083,0.12942787617318083,0.0,1.0,0.0,2555.0833333333335,2555.0833333333335,7665.25,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504355,1,municipality_single_origin,5254.0,5254.0,1.0,1.0,0.30757062447465083,0.30757062447465083,0.30757062447465083,14.16903112908464,14.169031129084642,14.169031129084642,0.0,0.0,0.0,1313.5,1250.952380952381,5254.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504405,1,municipality_single_origin,18260.0,18260.0,1.0,1.0,0.7645460601612042,0.7645460601612042,0.7645460601612042,0.6042042043368445,0.6042042043368445,0.6042042043368445,0.0,1.0,0.0,1521.6666666666667,1375.517890772128,4565.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504504,1,municipality_single_origin,6451.0,6451.0,1.0,1.0,0.3901407437646125,0.3901407437646125,0.3901407437646125,0.04070419401270284,0.04070419401270284,0.04070419401270284,0.0,1.0,0.0,1612.75,1843.142857142857,3225.5,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504603,1,municipality_single_origin,27605.0,27605.0,1.0,1.0,0.2802919797897742,0.2802919797897742,0.2802919797897742,9.452338894336304,9.452338894336304,9.452338894336304,0.0,0.0,0.0,2300.4166666666665,1749.920760697306,9201.666666666666,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504702,1,municipality_single_origin,4933.0,4933.0,1.0,1.0,0.05918621924452913,0.05918621924452914,0.05918621924452914,27.68544086353094,27.685440863530935,27.685440863530935,0.0,0.0,0.0,1233.25,2466.5,4933.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504801,1,municipality_single_origin,14683.0,14683.0,1.0,1.0,0.011518905998165482,0.011518905998165482,0.011518905998165482,0.30529875653501215,0.30529875653501215,0.30529875653501215,0.0,1.0,0.0,431.8529411764706,959.6732026143791,4894.333333333333,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2504850,1,municipality_single_origin,1824.0,1824.0,1.0,1.0,0.12771986372771418,0.12771986372771418,0.12771986372771418,30.373298502799692,30.373298502799692,30.373298502799692,0.0,0.0,0.0,912.0,793.0434782608696,1824.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
