ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,phase2_eligibility,phase2_mc_score_median,phase2_mc_rank_median,phase2_mc_rank_p05,phase2_mc_rank_p95,phase2_mc_probability_top_decile
432150,4321501,Torres,RS,eligible_phase2_geodesic_proxy,71.384521484375,141.0,79.0,217.0,1.0
330414,3304144,Queimados,RJ,eligible_phase2_geodesic_proxy,71.54378509521484,141.5,57.95000076293945,280.0,1.0
311940,3119401,Coronel Fabriciano,MG,eligible_phase2_geodesic_proxy,71.20906829833984,143.0,75.0,234.0500030517578,1.0
352210,3522109,Itanhaém,SP,eligible_phase2_geodesic_proxy,71.30502319335938,144.0,123.0,193.0,1.0
310670,3106705,Betim,MG,eligible_phase2_geodesic_proxy,70.96153259277344,146.0,112.0,194.0500030517578,1.0
350170,3501707,Américo Brasiliense,SP,eligible_phase2_geodesic_proxy,70.91239929199219,147.0,114.0,188.0,1.0
412625,4126256,Sarandi,PR,eligible_phase2_geodesic_proxy,70.65509796142578,150.0,99.0,216.0,1.0
353130,3531308,Monte Alto,SP,eligible_phase2_geodesic_proxy,70.82894897460938,150.5,74.0,241.0,1.0
355150,3551504,Serrana,SP,eligible_phase2_geodesic_proxy,70.86943054199219,151.0,137.0,185.0,1.0
432160,4321600,Tramandaí,RS,eligible_phase2_geodesic_proxy,70.78144836425781,151.0,107.0,194.0,1.0
354890,3548906,São Carlos,SP,eligible_phase2_geodesic_proxy,70.34217834472656,153.0,61.95000076293945,270.04998779296875,1.0
351000,3510005,Cândido Mota,SP,eligible_phase2_geodesic_proxy,70.56060791015625,154.0,119.94999694824219,193.0,1.0
313130,3131307,Ipatinga,MG,eligible_phase2_geodesic_proxy,70.55001831054688,154.0,91.94999694824219,226.0500030517578,1.0
313620,3136207,João Monlevade,MG,eligible_phase2_geodesic_proxy,70.44820404052734,155.0,134.0,187.0,1.0
316940,3169406,Três Pontas,MG,eligible_phase2_geodesic_proxy,70.42054748535156,155.0,130.0,188.0500030517578,1.0
353930,3539301,Pirassununga,SP,eligible_phase2_geodesic_proxy,70.45152282714844,157.0,99.9000015258789,217.0500030517578,1.0
432145,4321451,Teutônia,RS,eligible_phase2_geodesic_proxy,70.44291687011719,157.5,69.0,253.0,1.0
353980,3539806,Poá,SP,eligible_phase2_geodesic_proxy,70.42538452148438,158.0,73.0,288.0,1.0
312770,3127701,Governador Valadares,MG,eligible_phase2_geodesic_proxy,70.25749969482422,159.0,101.0,221.0,1.0
150140,1501402,Belém,PA,eligible_phase2_geodesic_proxy,70.43612670898438,159.0,95.94999694824219,257.04998779296875,1.0
510675,5106752,Pontes e Lacerda,MT,eligible_phase2_geodesic_proxy,70.12126159667969,159.0,130.0,200.0,1.0
330170,3301702,Duque de Caxias,RJ,eligible_phase2_geodesic_proxy,69.93014526367188,160.0,86.0,247.0500030517578,1.0
350220,3502200,Angatuba,SP,eligible_phase2_geodesic_proxy,70.01925659179688,160.0,70.0,263.04998779296875,1.0
420890,4208906,Jaraguá do Sul,SC,eligible_phase2_geodesic_proxy,69.92767333984375,162.0,118.94999694824219,220.0,1.0
410940,4109401,Guarapuava,PR,eligible_phase2_geodesic_proxy,70.00057983398438,162.0,158.0,176.0,1.0
412240,4122404,Rolândia,PR,eligible_phase2_geodesic_proxy,69.7612533569336,165.0,81.8499984741211,259.0,1.0
430480,4304804,Carlos Barbosa,RS,eligible_phase2_geodesic_proxy,69.70195770263672,165.0,124.94999694824219,222.0,1.0
351280,3512803,Cosmópolis,SP,eligible_phase2_geodesic_proxy,69.75567626953125,166.0,144.9499969482422,198.0,1.0
230440,2304400,Fortaleza,CE,eligible_phase2_geodesic_proxy,69.7279052734375,166.0,96.0,268.0,1.0
320240,3202405,Guarapari,ES,eligible_phase2_geodesic_proxy,69.63937377929688,167.0,115.0,232.0,1.0
353820,3538204,PINHALZINHO,SP,eligible_phase2_geodesic_proxy,69.44551086425781,168.0,133.0,217.0,1.0
