ibge_municipio_7,municipio_nome_ibge_seat,uf_sigla_ibge_seat,seat_latitude,seat_longitude,seat_category,seat_subcategory
1303007,Nhamundá,AM,-2.1898,-56.7121,Cidade,Sede Municipal
1303106,Nova Olinda do Norte,AM,-3.8859,-59.0901,Cidade,Sede Municipal
1303205,Novo Airão,AM,-2.6233,-60.9429,Cidade,Sede Municipal
1303304,Novo Aripuanã,AM,-5.1209,-60.38,Cidade,Sede Municipal
1303403,Parintins,AM,-2.6264,-56.7349,Cidade,Sede Municipal
1303502,Pauini,AM,-7.7149,-66.9992,Cidade,Sede Municipal
1303536,Presidente Figueiredo,AM,-2.0502,-60.027,Cidade,Sede Municipal
1303569,Rio Preto da Eva,AM,-2.6996,-59.6996,Cidade,Sede Municipal
1303601,Santa Isabel do Rio Negro,AM,-0.4152,-65.0191,Cidade,Sede Municipal
1303700,Santo Antônio do Içá,AM,-3.0995,-67.9465,Cidade,Sede Municipal
1303809,São Gabriel da Cachoeira,AM,-0.1299,-67.0879,Cidade,Sede Municipal
1303908,São Paulo de Olivença,AM,-3.4639,-68.9488,Cidade,Sede Municipal
1303957,São Sebastião do Uatumã,AM,-2.5717,-57.871,Cidade,Sede Municipal
1304005,Silves,AM,-2.8379,-58.2082,Cidade,Sede Municipal
1304062,Tabatinga,AM,-4.2266,-69.9363,Cidade,Sede Municipal
1304104,Tapauá,AM,-5.6204,-63.1885,Cidade,Sede Municipal
1304203,Tefé,AM,-3.3461,-64.7084,Cidade,Sede Municipal
1304237,Tonantins,AM,-2.8627,-67.7764,Cidade,Sede Municipal
1304260,Uarini,AM,-2.9849,-65.1606,Cidade,Sede Municipal
1304302,Urucará,AM,-2.5374,-57.7618,Cidade,Sede Municipal
1304401,Urucurituba,AM,-3.1281,-58.157,Cidade,Sede Municipal
1400027,Amajari,RR,3.6551,-61.4147,Cidade,Sede Municipal
1400050,Alto Alegre,RR,2.9921,-61.311,Cidade,Sede Municipal
1400100,Boa Vista,RR,2.8212,-60.673,Cidade,Sede Municipal
1400159,Bonfim,RR,3.3579,-59.8319,Cidade,Sede Municipal
1400175,Cantá,RR,2.6102,-60.601,Cidade,Sede Municipal
1400209,Caracaraí,RR,1.8275,-61.1253,Cidade,Sede Municipal
1400233,Caroebe,RR,0.8763,-59.6981,Cidade,Sede Municipal
1400282,Iracema,RR,2.1646,-61.055,Cidade,Sede Municipal
1400308,Mucajaí,RR,2.4437,-60.9182,Cidade,Sede Municipal
1400407,Normandia,RR,3.8793,-59.628,Cidade,Sede Municipal
1400456,Pacaraima,RR,4.4832,-61.1392,Cidade,Sede Municipal
1400472,Rorainópolis,RR,0.9324,-60.4253,Cidade,Sede Municipal
1400506,São João da Baliza,RR,0.9501,-59.9103,Cidade,Sede Municipal
1400605,São Luiz do Anauá,RR,1.0166,-60.0446,Cidade,Sede Municipal
1400704,Uiramutã,RR,4.5948,-60.1632,Cidade,Sede Municipal
1500107,Abaetetuba,PA,-1.7251,-48.8901,Cidade,Sede Municipal
1500131,Abel Figueiredo,PA,-4.9527,-48.3941,Cidade,Sede Municipal
1500206,Acará,PA,-1.9611,-48.1986,Cidade,Sede Municipal
1500305,Afuá,PA,-0.1552,-50.3918,Cidade,Sede Municipal
1500347,Água Azul do Norte,PA,-6.8027,-50.4827,Cidade,Sede Municipal
1500404,Alenquer,PA,-1.9543,-54.7401,Cidade,Sede Municipal
1500503,Almeirim,PA,-1.5285,-52.5771,Cidade,Sede Municipal
1500602,Altamira,PA,-3.2069,-52.2189,Cidade,Sede Municipal
1500701,Anajás,PA,-0.9844,-49.9384,Cidade,Sede Municipal
1500800,Ananindeua,PA,-1.3665,-48.372,Cidade,Sede Municipal
1500859,Anapu,PA,-3.47,-51.2022,Cidade,Sede Municipal
1500909,Augusto Corrêa,PA,-1.0218,-46.6359,Cidade,Sede Municipal
1500958,Aurora do Pará,PA,-2.1293,-47.5662,Cidade,Sede Municipal
1501006,Aveiro,PA,-3.6044,-55.332,Cidade,Sede Municipal
1501105,Bagre,PA,-1.9008,-50.2117,Cidade,Sede Municipal
1501204,Baião,PA,-2.7913,-49.6725,Cidade,Sede Municipal
1501253,Bannach,PA,-7.3531,-50.4081,Cidade,Sede Municipal
1501303,Barcarena,PA,-1.5047,-48.6257,Cidade,Sede Municipal
