osm_feature_id,osm_type,osm_id,name,operator,brand,latitude,longitude,source,valid_coordinates
node/5333826653,node,5333826653,Fármacia Paiva,,,-1.1989182,-47.1869099,OpenStreetMap amenity=pharmacy,True
node/5335637321,node,5335637321,Farmácias FM,,,-10.8348252,-37.0668256,OpenStreetMap amenity=pharmacy,True
node/5335871922,node,5335871922,Drogaria São Francisco,,,-8.23822,-41.6858,OpenStreetMap amenity=pharmacy,True
node/5337222627,node,5337222627,FarMais,,,-1.1925525,-47.1800888,OpenStreetMap amenity=pharmacy,True
node/5339960770,node,5339960770,FarMais,,,-1.1916041,-47.1782895,OpenStreetMap amenity=pharmacy,True
node/5343193376,node,5343193376,,,,-21.7075466,-47.2741767,OpenStreetMap amenity=pharmacy,True
node/5345744760,node,5345744760,Drogaria Santa Mônica,,,-16.6856463,-49.2675727,OpenStreetMap amenity=pharmacy,True
node/5347854315,node,5347854315,Drograria São Paulo,,,-7.9840561,-34.8378726,OpenStreetMap amenity=pharmacy,True
node/5347871787,node,5347871787,Farmácias Pague Menos,,,-7.9325801,-34.8239682,OpenStreetMap amenity=pharmacy,True
node/5351429472,node,5351429472,Farmácia Catarinense,,,-26.2193395,-49.4033016,OpenStreetMap amenity=pharmacy,True
node/5351722921,node,5351722921,Drogasil,,Drogasil,-15.8093192,-47.8853,OpenStreetMap amenity=pharmacy,True
node/5354805030,node,5354805030,Maxxi Econômica,,,-30.0296743,-51.2256542,OpenStreetMap amenity=pharmacy,True
node/5354812111,node,5354812111,Farmácias São João,,,-30.0297798,-51.2248025,OpenStreetMap amenity=pharmacy,True
node/5355199923,node,5355199923,Drogaria Geribá,,,-22.7727243,-41.9131385,OpenStreetMap amenity=pharmacy,True
node/5355615298,node,5355615298,Farma Sesi,,,-26.2222351,-49.4024743,OpenStreetMap amenity=pharmacy,True
node/5355815321,node,5355815321,Farma 1000,,,-23.0627546,-54.1992489,OpenStreetMap amenity=pharmacy,True
node/5357708833,node,5357708833,Farmácia Municipal,,,-29.8810148,-50.7824605,OpenStreetMap amenity=pharmacy,True
node/5359191897,node,5359191897,Santa terrezinha,,,-18.2300597,-47.8362908,OpenStreetMap amenity=pharmacy,True
node/5360691695,node,5360691695,Nutriflora,,,-15.826769,-47.9233887,OpenStreetMap amenity=pharmacy,True
node/5360691700,node,5360691700,Bioexata,,,-15.8273637,-47.9229246,OpenStreetMap amenity=pharmacy,True
node/5361912626,node,5361912626,Drogal,,,-22.7527177,-47.3232527,OpenStreetMap amenity=pharmacy,True
node/5361931747,node,5361931747,Farmácia Carifarma,,,-23.3720599,-48.184202,OpenStreetMap amenity=pharmacy,True
node/5362424191,node,5362424191,Drogaria Perequê,,,-23.4253077,-45.0673402,OpenStreetMap amenity=pharmacy,True
node/5362462390,node,5362462390,Plena,,,-19.7893766,-42.1460173,OpenStreetMap amenity=pharmacy,True
node/5362535676,node,5362535676,Laboratório Vila Rica,,,-20.5267694,-43.6934142,OpenStreetMap amenity=pharmacy,True
node/5363254496,node,5363254496,Drogaria Líder,,,-19.7909582,-42.1391761,OpenStreetMap amenity=pharmacy,True
node/5363443879,node,5363443879,Tamoio,,,-22.7476615,-42.8603058,OpenStreetMap amenity=pharmacy,True
node/5364207909,node,5364207909,,,,-25.2109249,-50.984035,OpenStreetMap amenity=pharmacy,True
node/5365071902,node,5365071902,Farmácia do Trabalhador,,,-2.5364723,-44.2071745,OpenStreetMap amenity=pharmacy,True
node/5365736182,node,5365736182,Angelita Medicamentos,,,-29.2413293,-51.0198008,OpenStreetMap amenity=pharmacy,True
